Text,Stance,Sentiment,Target
rt @ gunnjessica : because i want young american women to be able to be proud of the 1st woman president # semst,FAVOR,Positive,hillary clinton
@ chris_1791 @ newsbusters 2 years ago # hillary never answered whether she used private email # liberal media passed on reporting # semst,AGAINST,Negative,hillary clinton
"@ dnewhauser take that , marco rubio . @ gop can not pander to the latino vote while pushing policies that hurt the community most . # semst",NONE,Negative,hillary clinton
@ statedept @ ambcathyrussell @ adamsmith_usa @ hillaryclinton @ hillaryforia @ barackobama the whole # world is supporting you . # semst,FAVOR,Positive,hillary clinton
lets remember # dickcheney is an unindicted war criminal b4 we start yelling # benghazi day after day . will we ever see justice ? # semst,NONE,Negative,hillary clinton
"although i certainly have disagreements , after reading about @ governoromalley i much rather have him than @ hillaryclinton . # semst",AGAINST,Other,hillary clinton
human rights are women 's rights and women 's rights are human rights . - hillary clinton # semst,FAVOR,Positive,hillary clinton
"would you wan na be in a long term relationship with some bitch that hides her emails , & lies to your face ? then # dontvote # semst",AGAINST,Negative,hillary clinton
bill clinton just wants to be the first dude to be president and bang one . # semst,NONE,Negative,hillary clinton
@ huffpostpol if @ hillaryclinton can do half of what he did then she would be doing is a favor # semst,FAVOR,Negative,hillary clinton
"i 've made my decision , to the shock of no one probably , who i 'm supporting # semst",NONE,Negative,hillary clinton
`` did n't realize bob dole was mentioned in tupac 's `` '' how do u want it '' '' # yesterdaysleaders # semst '',NONE,Other,hillary clinton
if i run for office this will be my original logo : m # libertynothillary # hillno # tcot # uniteblue # semst,AGAINST,Other,hillary clinton
i will be there when your little tree has run out of smell . # thatchampion # semst,NONE,Negative,hillary clinton
crazy to think next up for the oval office is either going to be hillary or a republican # semst,AGAINST,Negative,hillary clinton
@ nacla @ brasilwire sos obama who ? ? @ barackobama ? ? : - ) ) ) ) are you joking ? # stopdilma # stoplula # stopforodesaopaulo # semst,NONE,Negative,hillary clinton
@ cheekygent @ chuckcjohnson hey hillary is on her to way to buy votes too ! # hillarysoold # semst,AGAINST,Negative,hillary clinton
"`` rt @ nicolasturgeon : `` '' it 's official : hillary 's running for president , '' '' says her campaign chief . excellent ! # semst ''",FAVOR,Positive,hillary clinton
`` only in a sexist as fuk world would we question the `` '' qualifications '' '' of a former secretary of state . # semst '',FAVOR,Negative,hillary clinton
@ chrischristie could n't run his way out of a paper bag let alone beat # hillaryclinton . go home chris u r drunk . # chrischristie # semst,FAVOR,Negative,hillary clinton
`` @ reformedbroker `` '' to da honies gittin money playing # bleep words like dummies '' '' # poppa # semst '',NONE,Negative,hillary clinton
forgive # cherylrios of her stupid comments about women being president . she will blame it on that time of the month anyways . # semst,NONE,Negative,hillary clinton
low key it would be interesting to have a female president . # semst,FAVOR,Positive,hillary clinton
"@ seanhannity we lost 4,000 of our military boys when your president pulled out of iraq . # liberalconsequences # semst",AGAINST,Negative,hillary clinton
. @ ethanobama i know - it 's just going to be a long year ! # semst,NONE,Negative,hillary clinton
"technically , a president with raging hormones could refer to estrogen , testosterone or anabolic steroids # iblamepublicschools # semst",AGAINST,Negative,hillary clinton
does hillary really need to run this country ? could we just make her president of the bingo club at shady pines ? # tcot # p2 # semst,AGAINST,Negative,hillary clinton
lol why do so many people around here hate hillary ? # semst,FAVOR,Negative,hillary clinton
"@ hillaryclinton is at the top , and has spent her whole career growing government , keeping the deck stacked . # libertynothillary # semst",AGAINST,Negative,hillary clinton
"problem with # libertarian is it 's not even a decreed party . a house devided against itself , will not stand . think this news to # semst",NONE,Negative,hillary clinton
@ hillaryclinton i am portuguese and i support your campaign ! best luck ! the world need a person and a women like you ! # usa # semst,FAVOR,Positive,hillary clinton
hillary clinton for ambassador to isis . # semst,AGAINST,Negative,hillary clinton
"so when all you brave patriots stop hillary , who you going to replace her with , jeb bush ? lol . # losers # semst",FAVOR,Negative,hillary clinton
i 'm a woman . can i be president ? @ stophillarypac # semst,AGAINST,Negative,hillary clinton
this is not her first time at the rodeo ! @ hillaryclinton does n't care who likes her or not this woman is on a mission # tough # semst,FAVOR,Positive,hillary clinton
@ lajouetreine @ karrattipaul i 'm not a genitalian # semst,NONE,Negative,hillary clinton
wondering what the next idiotic gop smear against @ hillaryclinton will be . it 's coming for sure . just do n't know details yet . # semst,FAVOR,Negative,hillary clinton
hillary is killing it so far on the trail . she 's finally showing her personal side and i think it will benefit her profoundly . # semst,FAVOR,Positive,hillary clinton
do we call bill mr president ... the first 1st man of or mr president the 1st man ? lol # imreadyforhillary # semst,FAVOR,Positive,hillary clinton
. @ gailtalk @ trscoop of course it was . she 'll be handled every step of the way . they ca n't risk her unscripted . # semst,AGAINST,Negative,hillary clinton
i just want my dog to stop eating the trash # semst,NONE,Negative,hillary clinton
@ thehill @ evanperez are you kidding me ... leave her to focus on issues ... the next prez # semst,FAVOR,Negative,hillary clinton
congratulations @ hillaryclinton on entering the 2016 race for president ! you have the support of jews all over the world ! # semst,FAVOR,Positive,hillary clinton
"@ hillaryclinton had more twitter followers then all four major republican candidates ( bush , rubio , paul , cruz ) combined . # semst",FAVOR,Positive,hillary clinton
# hillaryclinton has yet to release @ clintonfdn donors ... public deserves disclosure . # scandals # lies # clintons # semst,AGAINST,Negative,hillary clinton
i want to go back in time to when men and women could n't appear in the same yearbook as each other # old school # semst,NONE,Negative,hillary clinton
