Text,Stance,Sentiment,Target
always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room . # manly # semst,FAVOR,Negative,feminist movement
sometimes i overheat and want to take off my shirt but ca n't because of social expectations of people with breasts . ; n ; # semst,FAVOR,Negative,feminist movement
"if feminists spent 1/2 as much time reading papers as they do tumblr they would be real people , not ignorant sexist bigots . # semst",AGAINST,Negative,feminist movement
"stupid feminists , the civilization you take for granted was built with the labour , blood sweat and tears of men . # semst",AGAINST,Negative,feminist movement
you 're a girl and have a sex drive ! ? you must be a slut ! # feminist # semst,FAVOR,Negative,feminist movement
suns out .... dresses out ... # streetharassment out ... this should n't be daily life # yesallwomen @ everydaysexism # semst,FAVOR,Negative,feminist movement
women 's rights are # humanrights ! join the # cpdvoices twitter rally at 3pm et if you agree ! # cpd48 # semst,FAVOR,Positive,feminist movement
so you support unequal pricing based on gender @ camillebogrand ? do n't you normally call that sexism ? # equalpayday # semst,FAVOR,Negative,feminist movement
these pics of # pornstars with/without makeup ? just perpetuating the myth that women need makeup to be considered pretty . # semst,FAVOR,Negative,feminist movement
# yesallwomen should know how to protect herself . which is why i carry a gun . # republicanvalues # semst,FAVOR,Positive,feminist movement
links in sauga got ta stop chincing girls and taking away that extra bit # iknowyoudoit # equality # semst,FAVOR,Negative,feminist movement
rt @ isocynic : i support whatever team buck supports # truefan # socceroos # bodypositive # semst,NONE,Positive,feminist movement
tired of anti-womanist respectability politics . we need a safe space for women can look like they 're at the club at an interview # semst,FAVOR,Negative,feminist movement
"if you 're a feminist and you hate men , please kill yourself . # semst",AGAINST,Negative,feminist movement
"women do n't make 75 % less than men for the same job . women , on average , make less then men . look it up feminazis . # equalpayday # semst",AGAINST,Negative,feminist movement
@ lucyblakeman12 you need feminism more than you need anything else in your life . you could n't survive or speak w/o it . # semst,FAVOR,Negative,feminist movement
"`` mras just tried to `` '' enlighten '' '' me , which went about as well as the flight of the hindenburg . # semst ''",FAVOR,Negative,feminist movement
why do girls/women spend so much time to be pretty and attractive and then complain if they 're reduced to a sex symbol ? # semst,AGAINST,Negative,feminist movement
@ randomtweetor i hate to break it to u bruh but women do get pretty for us . they get pretty to show other women # feminist # semst,FAVOR,Negative,feminist movement
"job should always go to best candidate , regardless of gender . gender should n't even matter anymore , it 's 2015 ! # paulhenry # semst",FAVOR,Positive,feminist movement
"what do you say to a woman with two black eyes ? nothing , she 's already been told twice . # semst",AGAINST,Negative,feminist movement
did you know ? gender stereotypes as we know then developed with beginning of the 18. century . # gender # semst,FAVOR,Negative,feminist movement
the time for gender equality is now ! # semst,FAVOR,Positive,feminist movement
"as chip kidd announces the readers & asks us to hold their applause , the audience cant hold it back for @ gloriasteinem # poetry # semst",NONE,Positive,feminist movement
women get paid far more than men to appear in pornography . how come no one is talking about this blatant sexism ? ! @ amazingatheist # semst,AGAINST,Negative,feminist movement
you know you 're in a patriarchy when women are the ones who are blamed for prostitution # whatisjustice # inequality # semst,FAVOR,Negative,feminist movement
when is it ok for a married 49-year-old ceo to use his power and influence to shag his 22-year-old intern ? # askhillary # semst,FAVOR,Negative,feminist movement
i love that girl @ ericwynalda on @ meganrapinoe_15 what the hell @ foxsports1 ? way to diminish women 's soccer # uswnt # semst,FAVOR,Negative,feminist movement
"men do n't have a right to talk over you , you 're voice is important , you are a goddess and do n't deserve to be silenced # semst",FAVOR,Positive,feminist movement
finally a women running for president # semst,FAVOR,Positive,feminist movement
`` pissed that i got `` '' talked to '' '' but he did n't # semst '',FAVOR,Negative,feminist movement
"@ sirwilliamvalen insulting , thinking you can make a switch like that . if it was n't written for us , it was n't for us # semst",NONE,Negative,feminist movement
`` @ yaahnemba have you ever thought that maybe `` '' blue jeans '' '' hates you ? not everyone in the world is made for each other . # semst '',NONE,Negative,feminist movement
i believe that every women should have their own rights ! ! # semst,FAVOR,Positive,feminist movement
@ theruies @ xdirtydianna why not she 's clearly a part of the squad females ca n't be with guys without being looked at as a hoe # semst,FAVOR,Negative,feminist movement
it upsets me how people are so narrow-minded when it comes to feminism . stereotyping men is not . # semst,FAVOR,Negative,feminist movement
i am obsessed with becoming a woman comfortable in her skin . sandra cisneros # latinx # woc # semst,FAVOR,Positive,feminist movement
i just yelled at my boyfriend for trying to let me win for mortal kombat x . # semst,FAVOR,Negative,feminist movement
"extinction of insects , dangerous herbs , gigolo services , religious fanaticism , fake beercans-y malaysia radio & media fail2discuss ? # semst",NONE,Negative,feminist movement
rt @ wgsndsu : let 's demand less cat-calling and more cats ! # ndsufeminist # feminist # cats # dogscancometoo # semst,FAVOR,Positive,feminist movement
anyone find it funny that # feminists use # takeitlikeaman when they do n't want to understand what it means to be one ? # semst,AGAINST,Negative,feminist movement
. @ myrainbowninja @ notallbhas this farm is fucking disgusting . # semst,NONE,Negative,feminist movement
rt @ rossansguil : nothing like dudes joking about molesting me right to my face ... # semst,FAVOR,Negative,feminist movement
all i 'm doing is reading gg tweets and getting angrier . fuuuuuuuuuuuck men are privileged . time for bed . # feminismisawfullygreat # semst,FAVOR,Negative,feminist movement
@ fudgieebuddiee are you saying all girls are sensitive because of gender roles ? you sexist swine # semst,FAVOR,Negative,feminist movement
"`` @ danibchristen yes , a `` '' greater '' '' understanding because ur 's is `` '' superior '' '' 2 mine lol # idontneedfeminism # semst ''",AGAINST,Negative,feminist movement
who do i got ta fuck to never feel like i got ta fuck somebody ? # semst,NONE,Negative,feminist movement
"when they say men look at women like a piece of meat what do they even mean , they want to cook & eat her ? # yesallwomen # semst",FAVOR,Negative,feminist movement
"starting to compile evidence for blog post , how modern feminism shares the same traits as the nazi propaganda # antifeminism # semst",AGAINST,Negative,feminist movement
why do n't you love me twitter # semst,NONE,Negative,feminist movement
`` i hope you get raped is apparently how misogynists say `` '' how dare you not bend to my will ? '' '' # yesallwomen # semst '',FAVOR,Negative,feminist movement
how much radical feminist does there have to be before feminist start rethinking their position about feminism ? # semst,AGAINST,Negative,feminist movement
honoured to be followed by the truly inspirational @ kon__k founder of @ asrc1 # realaustralianssaywelcome # thethingsthatmatter # semst,NONE,Positive,feminist movement
feminists do n't even understand what feminism is . # semst,AGAINST,Negative,feminist movement
thanks to the work of people like @ everydaysexism they are not only helping women but helping the whole of society # semst,FAVOR,Positive,feminist movement
"if you wan na stay home and raise a family , that 's cool . but that 's your choice and nobody else 's . # semst",FAVOR,Negative,feminist movement
@ suicidaljac3 eat a pus or somethin lozer # semst,NONE,Negative,feminist movement
women are superior to men in every aspect # feminist # semst,FAVOR,Positive,feminist movement
@ bruiseaurora i 'm advocating men to stop loving women . just have sex with them . # everydaysexism # semst,AGAINST,Negative,feminist movement
i need feminism because- a man in a room full of women is ecstatic . a woman in a room full of men is terrified . # semst,FAVOR,Negative,feminist movement
why is paul elam not one of the most hated men alive right now ! ? # feminist # semst,FAVOR,Negative,feminist movement
yes women it 's not fair that men staying at home is shamed by society . we must change ppl additudes # everydaysexism # semst,FAVOR,Negative,feminist movement
watching # missrepresentation .. we must change our world . # womenrule # change # beauty # semst,FAVOR,Negative,feminist movement
i wo n't complain about equal rep of girls in gaming . princess peach & zelda are kick-ass women . samus is a beast . hello ! # gaming # semst,FAVOR,Positive,feminist movement
a woman is not a sex object . she 's a person . # truth # wisdom # womensrights # media # life # humanity # love # society # semst,FAVOR,Positive,feminist movement
umrao jaan ada- a story of not just a life or prostitute but of poise and poesy . # womanpower # semst,FAVOR,Negative,feminist movement
lol what 's so ugly about wanting to be equal ? # semst,FAVOR,Negative,feminist movement
"you want to hear something really ugly , 1 in 5 women will be sexually assaulted in their time in college # misogynyisugly # semst",FAVOR,Negative,feminist movement
@ amin86660132 @ justsoshelby very nice work . i 'm happy to hear your autistic friend is able to express himself this way # semst,NONE,Positive,feminist movement
wtf literal fuck am i evan sseing this thing about . # semst,NONE,Negative,feminist movement
radios r filled with feminist and rape propaganda . feminism is alive n well in malaysia . their rape guilt tactics wo n't silence me # semst,AGAINST,Negative,feminist movement
"i take some solace in knowing that , at least , it means they do n't know who that useless hack is ... @ thehiredmind # semst",NONE,Negative,feminist movement
no . feminists are not ugly . the fact that there is n't equal rights for both men and women is . # feministsarebeautiful # semst,FAVOR,Negative,feminist movement
"meredith giving don crap was great , but holy crap peggy . no spoilers , but damn was it a great scene . # peggy # madmen # semst",NONE,Positive,feminist movement
so i guess the new definition of ugly is believing in equal rights ... let me be ugly then # semst,FAVOR,Negative,feminist movement
strict gender roles in the context of a true marriage devoted to raising children will always be the ideal . no substitutes . # tcot # semst,AGAINST,Positive,feminist movement
ok armchair feminists got their panties wet . if you 're a social justice warrior go out and do something . get off tumblr . # semst,AGAINST,Negative,feminist movement
i ca n't believe some of the reasons people say they need feminism . i need my dog for half of the same reasons . # antifeminist # semst,AGAINST,Negative,feminist movement
"@ starsthomas dear god , you are fat . # semst",NONE,Negative,feminist movement
if feminists are ugly then what are the people calling them ugly must be vile # semst,FAVOR,Negative,feminist movement
`` im sorry if you going to be with me and call me `` '' you women '' '' like im a cadigory ill probably but boot out the door # semst '',FAVOR,Negative,feminist movement
"me ( in jest ) : it 's a man 's world , y'know . kaitlyn : i 'll blow up the world then . # semst",FAVOR,Negative,feminist movement
. @ awyee707 i respect your truck-suck . why do you not respect girls ' innate or chosen doll-love ? # semst,FAVOR,Negative,feminist movement
@ awyee707 @ tigerclaud you compared playing with dolls to a violent disposition . two very different things . # gamergate # semst,NONE,Negative,feminist movement
`` @ optimist216 what a load of crap . dressing appropriately for the office is `` '' sexist '' '' ? grow up . # yesallwomen # semst '',FAVOR,Negative,feminist movement
i 'm not sure my schadenfreudes can stand this much tickling . @ mt8_9 @ prettysing # semst,NONE,Negative,feminist movement
. @ diistantecho your wee sister believes in both santa claus and feminism . think harder about what that means . # semst,AGAINST,Negative,feminist movement
@ dancerlwt have you considered changing your twitter handle to vagina monologue ? # semst,AGAINST,Negative,feminist movement
just give me the attention you never gave anyone else . # extremerules # nepalearthquake # freddiegray # rhoareunion # semst,NONE,Negative,feminist movement
". @ nycinterlude do n't worry , honey . intelligence is a roadblock to full , unquestioning faith in feminism . bleated be ! # semst",AGAINST,Negative,feminist movement
i am a feminist.i 've been a female for a long time now.it 'd be stupid not to be on my own side-maya angelou- # feminist # humanist # semst,FAVOR,Positive,feminist movement
. @ feminismvibes men do n't admit to being raped as readily as women do . so your question is feminist bullshit . # semst,AGAINST,Negative,feminist movement
"@ vote4pedro___ she lied you idiot , it 's a fact & the reason that you wo n't acknowledge those facts is also the reason why # semst",NONE,Negative,feminist movement
"@ ananddaranand am not stopping your foe on ur own tl , if u notice ; was encouraging u to post topics i 'm interested in on my tl # vaw # semst",NONE,Negative,feminist movement
courting patriarchal approval condemns your sisters to abuse about their physical appearance # patriarchyisugly # semst,FAVOR,Negative,feminist movement
@ skynews @ eamonnholmes @ skyjacquie guy from 'beach body ready ' advert being interviewed.conclusion=arrogant male chauvinist idiot # semst,FAVOR,Negative,feminist movement
@ rsiereilly i 've been pretty well . enjoyed your response to # semst,NONE,Positive,feminist movement
"contempo qiwaamah : longer paid maternity leave , flexi working hours , on-site childcare , breastfeeding/breastpumping rooms , equal pay # semst",FAVOR,Positive,feminist movement
@ mrmikecalta proud to say i do n't listen to fat crossed eyed mj # semst,NONE,Negative,feminist movement
"the only reason , i stopped at each entrance in # walkingstreet is to have a # lawofattraction # viewpoint # dailydevotional # semst",NONE,Positive,feminist movement
"@ rimmedlarry actually , the tag was made by feminists so they can narcissistically post selfies to prove they 're not ugly . # semst",AGAINST,Negative,feminist movement
i have noticed that you never see any really beautiful feminists . i wonder why ? # semst,AGAINST,Negative,feminist movement
@ james_wtf do n't be saying these inconvenient truths . it might hurt the narrative . # semst,NONE,Negative,feminist movement
"@ draumkunta also , sorry i 'm too busy being a gorgeous feminist to give a shit about your beauty standards # semst",FAVOR,Negative,feminist movement
@ bethany_jaynew its cool i got the greenlight i 'm back on ur side # semst,NONE,Positive,feminist movement
`` @ _sarcasmspasm @ mt8_9 then there 's the added level of irony : their chosen figureheads : not really `` '' body positive '' '' amirite ? # semst '',AGAINST,Negative,feminist movement
your physical appearance does n't define your worth.people should be heard whether theyre conventionally attractive or not . # semst,FAVOR,Positive,feminist movement
all the feminist block me because i speak true . # semst,AGAINST,Negative,feminist movement
i 'm going to walk you thru this @ helen_a13 because i get feminists have no idea what they are saying ... @ bristolben # semst,AGAINST,Negative,feminist movement
@ msluuna women do n't need to shave . # semst,FAVOR,Other,feminist movement
the only thing ugly is the god damn opinions of the idiotic people who started this tag # semst,NONE,Negative,feminist movement
"wives who dislike cooking mk husbands diet , saying they 'll stay fit actually they want to avoid cooking ; ) mcp # womensprogress2015 # semst",FAVOR,Negative,feminist movement
"these sjws are so homogenous and blur together so well it 's like dealing with one giant , rainbow-headed monster . # gamergate # semst",AGAINST,Negative,feminist movement
# feminists can now prove wage gap ... yet no lawsuits have come forward of women paid less ... maybe it does n't exist . # semst,AGAINST,Negative,feminist movement
feminists are not ugly lol they do make me laugh though . they are the most hypocritical people on the planet # semst,AGAINST,Negative,feminist movement
wonder what it 'd be like to wear a dress and not be sexually harassed for it . # yesallwomen # semst,FAVOR,Negative,feminist movement
lehi high school is my favorite school due to @ cltnroberts ps yo gleaves hit me up # mondaymotivation # whatareyouafraidof # semst,NONE,Positive,feminist movement
"if you want to empower women , you need to disempower the warlords ! zahara langhi from libya # wilpf100 # wsw2015 # ikff # peace # war # semst",FAVOR,Negative,feminist movement
hey @ jcdfitness stop teiggering me with ur man gap on the bus i will fight the patriarchy until ur in jail . ty # equality2015 # semst,FAVOR,Negative,feminist movement
what is wrong with you people . women with self respect should be coveted . or have we been listening to too much rush ? # semst,FAVOR,Negative,feminist movement
"hey first-world country white women bitching about gender inequality , you 're going to be fine # killallmen # semst",AGAINST,Negative,feminist movement
"hey , all you # prolife-ers , if socrates was born mortal , and his mother thus doomed him to die , is she a murderer ? # semst",NONE,Negative,feminist movement
rt @ weneedfeminism : i do n't want to choose between having a family or having a career # semst,FAVOR,Negative,feminist movement
@ emwallbank listen well i 'm ready to tell about a need that i can not deny # hsmsong # semst,NONE,Other,feminist movement
@ evelynlns @ jes_chastain agree 100 % ! she radiates beauty from the inside out . such a role model for all # semst,FAVOR,Positive,feminist movement
anyone else starting to notice the general demographic of feminists is like fucking high-schoolers . # semst,AGAINST,Negative,feminist movement
sexism is power plus prejudice ? so anita is sexist by her own definition because of her new title in time # anitasarkeesian # semst,AGAINST,Negative,feminist movement
"women are strong , women are smart , women are bold . # feministsarebeautifulisalovemovement # semst",FAVOR,Positive,feminist movement
want revenge for being a slut ? cry rape . then lie to the world and carry a mattress with you . # rape # uglyfeminist # semst,AGAINST,Negative,feminist movement
people actually brag about how dank their shatter wax shit is on instagram pls kill me # lol # dabs # wax # 420 # semst,NONE,Negative,feminist movement
got ta love the respect feminists give to those that do n't wan na be a feminist ( note the sarcasm ) # idontneedfeminism # semst,AGAINST,Negative,feminist movement
"@ krewellajahan feminism does not equal woman 's rights . feminism is about vaulting one gender over another , not equality . # semst",AGAINST,Negative,feminist movement
i guess wanting and trying to make this world a better place for everyone makes me ugly . # feminist # semst,FAVOR,Negative,feminist movement
`` because heckling # yesallwomen & screaming `` '' look at me ! '' '' all day is an excellent way to show us you are a serious individual # semst '',AGAINST,Negative,feminist movement
feminist : * says something about women to be treated as equal human beings * some asshole : you 're ugly wow nice okay lmao # semst,AGAINST,Negative,feminist movement
". @ rod_mccallum you 're 55yrs out-of-date . i thought you could be more interesting , but you 're just old news , bored now . bye # semst",NONE,Negative,feminist movement
@ everydaysexism . @ rod_mccallum you are a dinosaur and a fool . not rising to your antiquated rhetoric . bye # semst,FAVOR,Negative,feminist movement
@ foreigncorrespo i 'm never bored . ppl who easily get bored - like you profess to be - are generally boring . it 's a weak wimp-out . # semst,NONE,Negative,feminist movement
@ foreigncorrespo and just because you can quote simone does n't mean you understand her . modern femmie-nism is just whining . # semst,AGAINST,Negative,feminist movement
the length of time i take in the bath directly relates to what 's happening on twitter # mondaymotivation # worlds2015 # semst,NONE,Other,feminist movement
all i need in this life of sin is me and my girlfriend # semst,NONE,Positive,feminist movement
the fact that people think women need to be appealing and attractive to be heard/seen as equal is why we need feminism # semst,FAVOR,Negative,feminist movement
they want equality but what they 're doing is overpowering men . # feminazi # semst,AGAINST,Negative,feminist movement
saying # alllivesmatter instead of # blacklivesmatter is like saying equal rights for all instead of # semst,NONE,Negative,feminist movement
i met my first radical feminist today . holy shit . amazing how much can go wrong in a brain # wtf # semst,AGAINST,Negative,feminist movement
@ thefemaleboook @ meninisttweet lmao at the fact you use a bunch of airbrushed fake ass celebrities # semst,AGAINST,Negative,feminist movement
". @ cooimemegirl feminists reject ( or ignore the fight for ) equality when it might hurt women . that 's not equality , duh . # semst",AGAINST,Negative,feminist movement
. @ cooimemegirl damn that wage gap ! sneaky men work longer hours in dangerous jobs and get paid for it ! # semst,AGAINST,Negative,feminist movement
". @ cooimemegirl feminists believe mothers should have a say over the father 's body , his job , and his money . # semst",AGAINST,Negative,feminist movement
you know what 's ugly ? ca n't going out with a short skirt without being judged # semst,FAVOR,Negative,feminist movement
`` . @ johnny_nimble @ __heyheather @ cooimemegirl `` '' equality '' '' : a term used by feminists to poorly hide supremacist agendas . # semst '',AGAINST,Negative,feminist movement
this feminist supports gender equality because some people believe a woman 's value lies in her physical beauty . # semst,FAVOR,Positive,feminist movement
"if you claim nor to be a feminist , you either do n't understand what feminism is , or you are a huge societal problem . # semst",FAVOR,Negative,feminist movement
elizabeth cady stanton did not die so you could get upset about fuckbois that do n't text back # semst,FAVOR,Negative,feminist movement
@ piddy_x @ nero @ cyberstalin it 's an attempt at a @ godfreyelfwick parody . # proteinworld # baltimoreriots # socialism # semst,NONE,Negative,feminist movement
women in hollywood are still getting paid less . it is 2015 . # semst,FAVOR,Negative,feminist movement
